,SOURCE,TARGET,label_modified
0,壓力,返工,because
1,生存,唔記得,because
2,機會,朋友,because
3,生活,無聊,because
4,時間,工作,because
5,傾過,朋友,because
6,傾過,問題,because
7,傾過,唔開心,because
8,傾過,情緒,because
9,返工,屋企,because
10,情緒,生活,because
11,情緒,屋企,because
12,唔緊要,問題,because
13,情緒,朋友,because
14,意義,失敗,because
15,唔緊要,朋友,because
16,攰,自殘,because
17,唔緊要,時間,because
18,攰,抑鬱,because
19,情緒,學校,because
20,壓力,生命,because
21,情緒,難,because
22,難,傷害,because
23,傷害,問題,because
24,攰,孤獨,because
25,情緒,病,because
26,多謝,休息,because
27,生存,愛,because
28,冇用,好難,because
29,自殺,冇用,because
30,亂,煩惱,because
31,困擾,生活,because
32,介意,面對面,because
33,困擾,唔開心,because
34,困擾,屋企,because
35,介意,老公,because
36,困擾,朋友,because
37,困擾,情緒,because
38,失敗,讀書,because
39,介意,我媽,because
40,失敗,好難,because
41,失敗,以為,because
42,攰,討厭,because
43,好耐,情緒,because
44,生存,家人,because
45,生存,朋友,because
46,好耐,朋友,because
47,好耐,問題,because
48,時間,難,because
49,生存,以為,because
50,解決,問題,because
51,朋友,分享,because
52,多謝,情緒,because
53,人生,無力,because
54,多謝,明白,because
55,多謝,生活,because
56,好耐,屋企,because
57,壓力,生存意義,because
58,情緒,同事,because
59,壓力,複雜,because
60,舒服,生活,because
61,壓力,人際關係,because
62,舒服,休息,because
63,舒服,傾到,because
64,舒服,原因,because
65,舒服,屋企,because
66,壓力,以為,because
67,壓力,忙,because
68,壓力,問題,because
69,醫生,覆診,because
70,壓力,傷害,because
71,舒服,朋友,because
72,生活,尷尬,because
73,壓力,難,because
74,生活,手機,because
75,生活,好返,because
76,生活,寂寞,because
77,處理,生活,because
78,攰,心情,because
79,死,自殘,because
80,好睏,返學,because
81,死,訓覺,because
82,好睏,病,because
83,處理,屋企,because
84,好睏,好煩,because
85,處理,唔開心,because
86,朋友,分享,because
87,工作,屋企人,because
88,舒服,處理,because
89,明白,同事,because
90,同事,相處,because
91,廢,失敗,because
92,攰,失眠,because
93,相處,介意,because
94,壓力,廢,because
95,壓力,通宵,because
96,唔開心,朋友,because
97,壓力,罵,because
98,迷惘,討厭,because
99,壓力,好亂,because
100,壓力,同事,because
101,消失,對唔住,because
102,生活,老細,because
103,世界,新聞,because
104,明白,家人,because
105,壓力,尷尬,because
106,成績,考試,because
107,明白,分享,because
108,分享,陪住,because
109,攰,忙,because
110,壓力,女仔,because
111,明白,傷害,because
112,攰,分手,because
113,生活,批評,because
114,傷害,介意,because
115,壓力,介意,because
116,壓力,世界,because
117,處理,朋友,because
118,介意,朋友,because
119,男仔,拒絕,because
120,解決,問題,because
121,對話,情緒,because
122,分手,以為,because
123,明白,傾到,because
124,分手,忙,because
125,分手,問題,because
126,心情,心事,because
127,分手,相處,because
128,對話,朋友,because
129,困擾,情緒,because
130,對話,問題,because
131,分手,明白,because
132,分手,學校,because
133,擔心,困擾,because
134,分手,公司,because
135,不想,累,because
136,不想,以為,because
137,擔心,離開,because
138,擔心,困擾,because
139,知道,對話,because
140,知道,電話,because
141,心情,問題,because
142,不想,無信心,because
143,不想,同事,because
144,擔心,生活,because
145,累,對唔住,because
146,電話,朋友,because
147,分手,媽媽,because
148,電話,情緒,because
149,心情,冇事,because
150,心情,屋企人,because
151,傾下,困擾,because
152,生活,難,because
153,身邊,離開,because
154,擔心,身邊,because
155,好難,傷害,because
156,心事,難,because
157,心事,學校,because
158,心情,適應,because
159,傾下,唔開心,because
160,知道,同事,because
161,唔開心,難,because
162,無信心,無用,because
163,傾下,傷害,because
164,聯絡,掛住,because
165,離開,擔心,because
166,擔心,難,because
167,好難,失敗,because
168,分手,放低,because
169,心情,男人,because
170,分享,陪住,because
171,鍾意,男朋友,because
172,電話,擔心,because
173,唔開心,傷害,because
174,心情,意義,because
175,知道,病,because
176,知道,傾下,because
177,心情,無錯,because
178,無錯,以為,because
179,放鬆,放假,because
180,心情,女朋友,because
181,心情,無聊,because
182,介意,外展,because
183,介意,好難,because
184,介意,尷尬,because
185,離開,屋企,because
186,離開,朋友,because
187,介意,意義,because
188,開心,玩,because
189,世界,愛,because
190,分享,機構,because
191,愛,對唔住,because
192,離開,問題,because
193,世界,中學,because
194,介意,以為,because
195,以為,家,because
196,好睏,失眠,because
197,以為,男朋友,because
198,冇用,考試,because
199,以為,世界,because
200,工作,生活,because
201,以為,中學,because
202,介意,問題,because
203,以為,忘記,because
204,以為,男仔,because
205,世界,精神,because
206,以為,學,because
207,分手,憎,because
208,冇事,屋企人,because
209,心情,尷尬,because
210,放棄,諗,because
211,擔心,屋企,because
212,不想,病,because
213,心情,罵,because
214,知道,對話,because
215,擔心,朋友,because
216,擔心,學校,because
217,擔心,讀書,because
218,擔心,難,because
219,不安,中學,because
220,不安,同事,because
221,擔心,同事,because
222,擔心,傷害,because
223,不安,地方,because
224,冇事,介意,because
225,冇事,死,because
226,生命,無用,because
227,無用,工作,because
228,冇事,學校,because
229,心情,老公,because
230,冇事,情緒,because
231,擔心,介意,because
232,冇事,醫生,because
233,心情,孤獨,because
234,心情,分手,because
235,心情,掛住,because
236,死,好煩,because
237,攰,焦慮,because
238,開心,支援,because
239,開心,同事,because
240,自殺,抑鬱症,because
241,開心,食飯,because
242,開心,鐘意,because
243,開心,順利,because
244,自殺,老師,because
245,無力,絕望,because
246,煩惱,負面,because
247,開心,姑娘,because
248,自殺,緊張,because
249,開心,傾計,because
250,開心,傾完,because
251,開心,上堂,because
252,開心,世界,because
253,壓力,大學,because
254,辛苦,報警,because
255,壓力,適應,because
256,頭痛,情緒,because
257,辛苦,頭痛,because
258,開心,愛,because
259,開心,實習,because
260,開心,收工,because
261,開心,加油,because
262,開心,返到,because
263,開心,活動,because
264,開心,小朋友,because
265,死,朋友,because
266,死,家人,because
267,難,失敗,because
268,死,難,because
269,自殺,冇用,because
270,自殺,感到傷害,because
271,讀書,唔記得,because
272,開心,合格,because
273,自殺,男朋友,because
274,自殺,同事,because
275,讀書,喜歡,because
276,開心,以為,because
277,自殺,家,because
278,開心,家,because
279,開心,放低,because
280,玩,講下,because
281,開心,人際關係,because
282,開心,無錯,because
283,好睏,亂,because
284,好難,累,because
285,自殺,好難,because
286,開心,喜歡,because
287,開心,中學,because
288,開心,男朋友,because
289,死,讀書,because
290,開心,爸,because
291,開心,忘記,because
292,轉介,社工,because
293,辛苦,轉介,because
294,壓力,攰,because
295,辛苦,忙,because
296,分享,唔開心,because
297,分享,開心,because
